date time unix_time bits_sent
2022-11-19 14:48:15 1668869295 12368
2022-11-19 14:45:16 1668869116 12232
2022-11-19 14:42:15 1668868935 12384
2022-11-19 14:39:15 1668868755 15616
2022-11-19 14:36:15 1668868575 12560
2022-11-19 14:33:15 1668868395 12184
2022-11-19 14:30:15 1668868215 12192
2022-11-19 14:27:16 1668868036 15816
2022-11-19 14:24:15 1668867855 12128
2022-11-19 14:21:15 1668867675 12216
2022-11-19 14:18:16 1668867496 12344
2022-11-19 14:15:15 1668867315 15568
2022-11-19 14:12:15 1668867135 12168
2022-11-19 14:09:15 1668866955 12096
2022-11-19 14:06:15 1668866775 39112
2022-11-19 14:03:16 1668866596 18840
2022-11-19 14:00:15 1668866415 12448
2022-11-19 13:57:15 1668866235 12104
2022-11-19 13:54:15 1668866055 12520
2022-11-19 13:51:15 1668865875 15840
2022-11-19 13:48:15 1668865695 12168
2022-11-19 13:45:15 1668865515 12480
2022-11-19 13:42:15 1668865335 12200
2022-11-19 13:39:15 1668865155 15632
2022-11-19 13:36:15 1668864975 11736
2022-11-19 13:33:15 1668864795 12352
2022-11-19 13:30:15 1668864615 12368
2022-11-19 13:27:15 1668864435 15624
2022-11-19 13:24:15 1668864255 12504
2022-11-19 13:21:15 1668864075 11928
2022-11-19 13:18:15 1668863895 12456
2022-11-19 13:15:15 1668863715 12536
2022-11-19 13:12:15 1668863535 15624
2022-11-19 13:09:15 1668863355 12008
2022-11-19 13:06:15 1668863175 12480
2022-11-19 13:03:15 1668862995 15728
2022-11-19 13:00:15 1668862815 15776
2022-11-19 12:57:15 1668862635 12128
2022-11-19 12:54:15 1668862455 12280
2022-11-19 12:51:15 1668862275 12432
2022-11-19 12:48:15 1668862095 15744
2022-11-19 12:45:16 1668861916 12536
2022-11-19 12:42:15 1668861735 11976
2022-11-19 12:39:15 1668861555 12496
2022-11-19 12:36:15 1668861375 15168
2022-11-19 12:33:16 1668861196 12344
2022-11-19 12:30:16 1668861016 12264
2022-11-19 12:27:15 1668860835 12040
2022-11-19 12:24:15 1668860655 16280
2022-11-19 12:21:15 1668860475 11968
2022-11-19 12:18:15 1668860295 12264
2022-11-19 12:15:15 1668860115 12592
2022-11-19 12:12:15 1668859935 15536
2022-11-19 12:09:15 1668859755 12448
2022-11-19 12:06:15 1668859575 11984
2022-11-19 12:03:15 1668859395 15872
2022-11-19 12:00:15 1668859215 13384
2022-11-19 11:57:16 1668859036 14344
2022-11-19 11:54:15 1668858855 12480
2022-11-19 11:51:16 1668858676 11824
2022-11-19 11:48:15 1668858495 12800
2022-11-19 11:45:16 1668858316 15512
2022-11-19 11:42:15 1668858135 12344
2022-11-19 11:39:15 1668857955 12072
2022-11-19 11:36:15 1668857775 12304
2022-11-19 11:33:15 1668857595 16048
2022-11-19 11:30:15 1668857415 12016
2022-11-19 11:27:15 1668857235 12280
2022-11-19 11:24:15 1668857055 12440
2022-11-19 11:21:15 1668856875 15824
2022-11-19 11:18:16 1668856696 12264
2022-11-19 11:15:15 1668856515 12336
2022-11-19 11:12:15 1668856335 12160
2022-11-19 11:09:15 1668856155 16016
2022-11-19 11:06:15 1668855975 12088
2022-11-19 11:03:16 1668855796 16128
2022-11-19 11:00:15 1668855615 12016
2022-11-19 10:57:16 1668855436 15696
2022-11-19 10:54:15 1668855255 12648
2022-11-19 10:51:15 1668855075 12016
2022-11-19 10:48:15 1668854895 12520
2022-11-19 10:45:15 1668854715 15664
2022-11-19 10:42:15 1668854535 12784
2022-11-19 10:39:15 1668854355 11424
